sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_net_fixed_assets|sa_cf_net_frm_op_activity
157429|NEKKANTI SEA FOODS LTD.|20220331|12|INDAS|22209.8000|120.0000|NA|1021.5000|2.3000|2045.0000|-470.9000
157429|NEKKANTI SEA FOODS LTD.|20230331|12|INDAS|11080.2000|NA|NA|178.6000|NA|1893.5000|4284.8000
157827|NESTLE INDIA LTD.|20141231|12|IGAAP|101295.0000|154.6000|NA|2004.3000|NA|31766.4000|16889.7000
157827|NESTLE INDIA LTD.|20151231|12|IGAAP|84304.4000|167.9000|NA|1506.3000|NA|28978.5000|10961.6000
157827|NESTLE INDIA LTD.|20161231|12|INDAS|94096.0000|331.5000|NA|2021.1000|NA|27301.4000|14663.6000
157827|NESTLE INDIA LTD.|20171231|12|INDAS|101351.1000|351.4000|NA|2732.0000|NA|26161.8000|18177.9000
157827|NESTLE INDIA LTD.|20181231|12|INDAS|115508.9000|351.4000|NA|1333.6000|NA|24006.2000|20524.5000
157827|NESTLE INDIA LTD.|20191231|12|INDAS|126903.1000|1427.4000|NA|5773.8000|NA|23414.5000|22952.5000
157827|NESTLE INDIA LTD.|20201231|12|INDAS|136929.7000|974.8000|NA|2155.0000|NA|21794.1000|24544.8000
157827|NESTLE INDIA LTD.|20211231|12|INDAS|151112.3000|2177.8000|NA|12153.2000|NA|29946.7000|22360.0000
157827|NESTLE INDIA LTD.|20221231|12|INDAS|173159.5000|2173.1000|NA|4929.3000|NA|30437.0000|27374.3000
163543|OM OIL & FLOUR MILLS LTD.|20150331|12|IGAAP|2004.6000|149.6000|NA|52.2000|NA|950.3000|69.4000
163543|OM OIL & FLOUR MILLS LTD.|20160331|12|IGAAP|2231.4000|153.3000|NA|49.2000|NA|940.3000|26.7000
163543|OM OIL & FLOUR MILLS LTD.|20170331|12|IGAAP|2430.8000|166.2000|166.5000|93.4000|NA|980.9000|264.8000
163543|OM OIL & FLOUR MILLS LTD.|20180331|12|IGAAP|2480.4000|162.6000|NA|66.2000|NA|986.5000|245.3000
163543|OM OIL & FLOUR MILLS LTD.|20190331|12|IGAAP|2538.6000|127.1000|27.7000|69.3000|NA|991.6000|17.8000
163543|OM OIL & FLOUR MILLS LTD.|20200331|12|IGAAP|2982.8000|84.2000|41.8000|50.2000|NA|976.2000|36.3000
163543|OM OIL & FLOUR MILLS LTD.|20210331|12|IGAAP|3040.1000|155.5000|54.1000|53.7000|NA|960.6000|417.2000
171497|PARLE AGRO PVT. LTD.|20150331|12|IGAAP|12501.1000|246.4000|NA|621.5000|0.1000|2482.7000|1916.2000
171497|PARLE AGRO PVT. LTD.|20160331|12|INDAS|14021.8000|113.5000|117.9000|560.2000|19.6000|2394.0000|1485.0000
171497|PARLE AGRO PVT. LTD.|20170331|12|INDAS|16055.0000|2376.6000|113.5000|1674.4000|19.9000|3473.4000|746.0000
171497|PARLE AGRO PVT. LTD.|20180331|12|INDAS|18135.0000|2656.9000|709.9000|981.0000|14.4000|3601.4000|1852.0000
171497|PARLE AGRO PVT. LTD.|20190331|12|INDAS|22075.2000|3984.4000|1460.0000|3156.6000|6.2000|5660.1000|2508.2000
171497|PARLE AGRO PVT. LTD.|20200331|12|INDAS|26561.1000|5394.8000|1787.1000|4376.2000|4.2000|8246.4000|NA
171497|PARLE AGRO PVT. LTD.|20210331|12|INDAS|23551.9000|4587.3000|2362.8000|3211.8000|1.5000|9165.1000|3907.1000
171497|PARLE AGRO PVT. LTD.|20220331|12|INDAS|32167.9000|4829.8000|2065.7000|3869.6000|4.9000|10163.7000|4148.5000
171498|PARLE BISCUITS PVT. LTD.|20150331|12|IGAAP|66738.2000|120.0000|NA|912.6000|3.4000|3802.6000|2800.2000
171498|PARLE BISCUITS PVT. LTD.|20160331|12|INDAS|70325.2000|240.0000|NA|1027.1000|6.8000|3748.8000|3043.3000
171498|PARLE BISCUITS PVT. LTD.|20170331|12|INDAS|76742.2000|83.3000|NA|585.6000|338.3000|3532.7000|-1328.0000
171498|PARLE BISCUITS PVT. LTD.|20180331|12|INDAS|82445.4000|43.3000|NA|591.5000|180.9000|3407.8000|4416.5000
171498|PARLE BISCUITS PVT. LTD.|20190331|12|INDAS|87389.9000|0.6000|NA|642.0000|27.3000|3413.9000|975.2000
171498|PARLE BISCUITS PVT. LTD.|20200331|12|INDAS|99092.9000|775.6000|NA|3206.9000|43.1000|5732.8000|9035.4000
171498|PARLE BISCUITS PVT. LTD.|20210331|12|INDAS|136355.0000|604.3000|NA|609.5000|31.0000|5285.2000|10078.8000
171498|PARLE BISCUITS PVT. LTD.|20220331|12|INDAS|144673.6000|357.7000|NA|1709.3000|219.7000|6013.2000|-121.8000
171498|PARLE BISCUITS PVT. LTD.|20230331|12|INDAS|145243.3000|526.1000|NA|1275.1000|9.7000|6085.6000|6025.1000
176208|PLANT LIPIDS PVT. LTD.|20150331|12|IGAAP|6005.0000|16.0000|9.1000|212.8000|3.3000|509.8000|148.2000
176208|PLANT LIPIDS PVT. LTD.|20160331|12|IGAAP|8492.1000|7.3000|9.7000|184.1000|0.5000|587.0000|-386.4000
176208|PLANT LIPIDS PVT. LTD.|20170331|12|INDAS|9887.5000|NA|NA|519.4000|1.5000|984.2000|-703.4000
176208|PLANT LIPIDS PVT. LTD.|20180331|12|INDAS|9521.9000|NA|NA|318.3000|0.6000|1037.6000|1450.3000
176208|PLANT LIPIDS PVT. LTD.|20190331|12|INDAS|9343.9000|NA|NA|138.3000|NA|925.1000|1781.0000
176208|PLANT LIPIDS PVT. LTD.|20200331|12|INDAS|9927.1000|0.2000|NA|136.0000|0.5000|845.0000|1027.7000
176208|PLANT LIPIDS PVT. LTD.|20210331|12|INDAS|13575.1000|0.1000|NA|605.5000|0.1000|1194.0000|-509.9000
176208|PLANT LIPIDS PVT. LTD.|20220331|12|INDAS|18813.5000|NA|NA|583.1000|25.6000|1503.2000|-2842.2000
210328|SANDHYA MARINES LTD.|20150331|12|IGAAP|3687.4000|8.7000|NA|35.8000|NA|254.3000|NA
210328|SANDHYA MARINES LTD.|20160331|12|IGAAP|3421.5000|3.7000|NA|NA|NA|231.6000|NA
210328|SANDHYA MARINES LTD.|20170331|12|IGAAP|3999.4000|3.7000|NA|NA|NA|235.2000|191.2000
210328|SANDHYA MARINES LTD.|20180331|12|IGAAP|5000.5000|23.0000|NA|258.8000|NA|433.6000|NA
210328|SANDHYA MARINES LTD.|20190331|12|IGAAP|5635.3000|38.4000|NA|655.4000|NA|1000.7000|480.8000
210328|SANDHYA MARINES LTD.|20200331|12|INDAS|7592.2000|87.9000|26.2000|184.5000|NA|1051.1000|NA
210328|SANDHYA MARINES LTD.|20210331|12|INDAS|9745.8000|23.6000|7.1000|389.8000|NA|1292.8000|NA
210328|SANDHYA MARINES LTD.|20220331|12|INDAS|16100.9000|392.1000|18.9000|975.9000|NA|2088.9000|36.8000
210328|SANDHYA MARINES LTD.|20230331|12|INDAS|16881.7000|45.5000|2.9000|337.5000|NA|2207.5000|2121.6000
23774|ASVINI FISHERIES PVT. LTD.|20150331|12|IGAAP|8373.6000|7.4000|16.7000|81.8000|NA|493.0000|88.4000
23774|ASVINI FISHERIES PVT. LTD.|20160331|12|IGAAP|6925.7000|2.9000|4.5000|205.0000|NA|614.3000|NA
23774|ASVINI FISHERIES PVT. LTD.|20170331|12|IGAAP|7629.8000|0.0000|2.9000|45.9000|NA|580.2000|270.2000
23774|ASVINI FISHERIES PVT. LTD.|20180331|12|IGAAP|8442.6000|NA|NA|427.0000|NA|931.7000|520.0000
23774|ASVINI FISHERIES PVT. LTD.|20190331|12|INDAS|9183.1000|15.3000|NA|530.0000|NA|1187.5000|482.7000
23774|ASVINI FISHERIES PVT. LTD.|20200331|12|INDAS|11178.8000|17.9000|NA|179.9000|NA|1217.9000|675.1000
23774|ASVINI FISHERIES PVT. LTD.|20210331|12|INDAS|9404.1000|18.4000|NA|49.6000|3.6000|1138.2000|354.1000
23774|ASVINI FISHERIES PVT. LTD.|20220331|12|INDAS|12598.7000|23.8000|NA|432.2000|1.1000|1429.8000|558.5000
23774|ASVINI FISHERIES PVT. LTD.|20230331|12|INDAS|14260.6000|30.5000|NA|429.7000|0.1000|1660.1000|1944.9000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20150331|12|IGAAP|11579.0000|635.1000|NA|1095.4000|138.5000|2656.0000|442.5000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20160331|12|INDAS|12347.9000|406.0000|NA|245.6000|3.3000|2357.4000|-201.0000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20170331|12|INDAS|14706.9000|170.1000|234.5000|483.8000|8.8000|2396.3000|249.0000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20180331|12|INDAS|13610.1000|202.1000|162.9000|468.8000|5.8000|2446.5000|3395.6000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20190331|12|INDAS|12524.9000|150.1000|51.9000|285.3000|2.0000|2335.4000|1503.8000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20200331|12|INDAS|13946.6000|435.3000|76.2000|575.1000|0.2000|2605.3000|1720.4000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20210331|12|INDAS|15914.4000|387.9000|87.5000|414.9000|2.4000|2599.8000|1598.5000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20220331|12|INDAS|19376.9000|353.9000|100.0000|612.7000|55.1000|2692.5000|-1037.2000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20230331|12|INDAS|19602.5000|314.8000|108.6000|2008.7000|2.5000|4138.2000|1329.2000
248057|TASTY BITE EATABLES LTD.|20150331|12|IGAAP|1680.2000|212.3000|51.1000|44.4000|NA|608.9000|98.4000
248057|TASTY BITE EATABLES LTD.|20160331|12|IGAAP|1972.2000|197.4000|38.1000|79.4000|0.4000|612.7000|148.7000
248057|TASTY BITE EATABLES LTD.|20170331|12|INDAS|2385.0000|360.4000|NA|144.8000|1.6000|653.7000|122.9000
248057|TASTY BITE EATABLES LTD.|20180331|12|INDAS|2755.9000|305.7000|56.3000|220.1000|0.1000|763.5000|211.6000
248057|TASTY BITE EATABLES LTD.|20190331|12|INDAS|3353.2000|258.1000|67.1000|184.7000|1.0000|821.1000|555.5000
248057|TASTY BITE EATABLES LTD.|20200331|12|INDAS|4221.9000|288.9000|72.9000|237.7000|1.3000|984.5000|368.2000
248057|TASTY BITE EATABLES LTD.|20210331|12|INDAS|3797.8000|1133.8000|70.8000|978.1000|1.3000|1785.7000|400.5000
248057|TASTY BITE EATABLES LTD.|20220331|12|INDAS|3676.0000|1021.0000|79.8000|361.9000|0.7000|1888.7000|649.6000
248057|TASTY BITE EATABLES LTD.|20230331|12|INDAS|4715.6000|859.5000|137.6000|468.9000|7.7000|2071.0000|610.7000
248186|TATA CONSUMER PRODUCTS LTD.|20150331|12|IGAAP|27933.2000|3250.0000|NA|797.6000|69.6000|1933.4000|502.2000
