ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
149122|MOON BEVERAGES LTD.|20160331|12|IGAAP|4199.8000|NA|170.4000|2922.9000|NA|521.6000|NA|521.6000|536.1000|NA
149122|MOON BEVERAGES LTD.|20170331|12|IGAAP|5458.9000|NA|184.8000|2594.2000|NA|115.8000|NA|115.8000|495.7000|NA
149122|MOON BEVERAGES LTD.|20180331|12|IGAAP|4652.1000|NA|211.6000|2255.8000|NA|156.4000|NA|156.4000|NA|NA
149122|MOON BEVERAGES LTD.|20190331|12|IGAAP|4785.6000|NA|225.7000|1974.8000|NA|78.4000|NA|78.4000|313.2000|NA
149122|MOON BEVERAGES LTD.|20200331|12|IGAAP|6011.5000|NA|332.1000|6085.5000|NA|4560.6000|NA|4560.6000|820.0000|NA
149122|MOON BEVERAGES LTD.|20210331|12|IGAAP|8716.3000|NA|438.7000|5384.8000|NA|181.7000|NA|181.7000|NA|NA
149122|MOON BEVERAGES LTD.|20220331|12|IGAAP|11793.0000|NA|529.4000|6343.4000|NA|618.4000|0.2000|618.4000|NA|NA
157429|NEKKANTI SEA FOODS LTD.|20160331|12|IGAAP|7473.1000|NA|32.3000|30.0000|20.0000|60.9000|NA|60.9000|478.1000|NA
157429|NEKKANTI SEA FOODS LTD.|20170331|12|INDAS|7679.5000|268.6000|42.3000|NA|NA|831.3000|2.1000|831.3000|-184.2000|NA
157429|NEKKANTI SEA FOODS LTD.|20180331|12|INDAS|12036.4000|378.9000|138.4000|160.0000|NA|187.8000|1.4000|187.8000|1288.4000|NA
157429|NEKKANTI SEA FOODS LTD.|20190331|12|INDAS|11291.0000|268.0000|179.5000|519.0000|5.8000|1008.8000|NA|1008.8000|841.0000|NA
157429|NEKKANTI SEA FOODS LTD.|20200331|12|INDAS|12977.8000|321.4000|249.4000|526.9000|4.6000|629.9000|0.5000|629.9000|1223.9000|NA
157429|NEKKANTI SEA FOODS LTD.|20210331|12|INDAS|12803.4000|358.7000|259.5000|96.9000|32.8000|920.1000|240.0000|920.1000|-589.0000|NA
157429|NEKKANTI SEA FOODS LTD.|20220331|12|INDAS|22426.1000|601.5000|292.3000|133.0000|40.0000|1096.1000|2.3000|1096.1000|-523.6000|NA
157429|NEKKANTI SEA FOODS LTD.|20230331|12|INDAS|11324.7000|309.8000|313.3000|NA|NA|247.4000|NA|247.4000|4209.9000|NA
163543|OM OIL & FLOUR MILLS LTD.|20160331|12|IGAAP|2231.4000|NA|85.6000|223.6000|NA|55.7000|NA|55.7000|28.8000|NA
163543|OM OIL & FLOUR MILLS LTD.|20170331|12|IGAAP|2430.8000|NA|89.2000|166.2000|166.5000|94.6000|NA|94.6000|265.1000|NA
163543|OM OIL & FLOUR MILLS LTD.|20180331|12|IGAAP|2480.4000|NA|59.5000|162.6000|NA|66.2000|NA|66.2000|245.4000|NA
163543|OM OIL & FLOUR MILLS LTD.|20190331|12|IGAAP|2538.6000|NA|72.0000|127.1000|NA|69.3000|NA|69.3000|19.1000|NA
163543|OM OIL & FLOUR MILLS LTD.|20200331|12|IGAAP|2982.8000|NA|166.9000|84.2000|41.8000|50.2000|NA|50.2000|36.0000|NA
163543|OM OIL & FLOUR MILLS LTD.|20210331|12|IGAAP|3040.1000|NA|178.2000|155.5000|54.1000|53.7000|NA|53.7000|417.7000|NA
171497|PARLE AGRO PVT. LTD.|20200331|12|INDAS|26561.1000|45.3000|2378.1000|5394.7000|1787.2000|4385.3000|4.2000|4385.3000|3638.7000|NA
171497|PARLE AGRO PVT. LTD.|20210331|12|INDAS|23551.9000|6.9000|2531.8000|4587.3000|2362.8000|3212.4000|1.5000|3212.4000|3963.0000|NA
171497|PARLE AGRO PVT. LTD.|20220331|12|INDAS|32167.9000|21.0000|2780.4000|4829.8000|2065.7000|3870.3000|4.9000|3870.3000|4176.9000|NA
176208|PLANT LIPIDS PVT. LTD.|20160331|12|IGAAP|9683.0000|NA|244.5000|7.3000|9.7000|205.6000|0.5000|205.6000|-95.6000|NA
176208|PLANT LIPIDS PVT. LTD.|20170331|12|INDAS|11548.1000|147.9000|311.7000|NA|NA|537.7000|1.5000|537.7000|-808.3000|8511.1000
176208|PLANT LIPIDS PVT. LTD.|20180331|12|INDAS|10770.7000|209.6000|341.3000|NA|NA|338.2000|0.6000|338.2000|1278.2000|NA
176208|PLANT LIPIDS PVT. LTD.|20190331|12|INDAS|10267.7000|301.1000|350.6000|NA|NA|150.3000|NA|150.3000|2223.0000|NA
176208|PLANT LIPIDS PVT. LTD.|20200331|12|INDAS|10746.9000|293.4000|356.1000|79.9000|NA|172.2000|0.5000|172.2000|2107.3000|NA
176208|PLANT LIPIDS PVT. LTD.|20210331|12|INDAS|14492.9000|81.3000|391.7000|4.9000|NA|615.2000|0.1000|615.2000|-1132.0000|NA
