co_code|company_name|co_industry_gp_code|co_industry_name|nic_prod_code|nic_name
59173|DEVI SEA FOODS LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
72030|FALCON MARINE EXPORTS LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
74341|FOODS & INNS LTD.|0101011101701000|Processed foods|10304|Manufacture of fruit or vegetable juices and their concentrates, squashes and powder
77643|GADRE MARINE EXPORT PVT. LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
783|A D F FOODS LTD.|0101011101701000|Processed foods|10799|Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)
78632|GANESH GRAINS LTD.|0101011101703000|Milling products|10619|Other grain milling and processing n.e.c.
86945|GUJARAT TEA PROCESSORS & PACKERS LTD.|0101011101050000|Tea|10791|Processing and blending of tea including Manufacture of instant tea
89485|HALDIRAM SNACKS PVT. LTD.|0101011101701000|Processed foods|11049|Manufacture of other non-alcoholic beverages n.e.c.
91480|HATSUN AGRO PRODUCT LTD.|0101011101010000|Dairy products|01412|Production of milk from cows or buffaloes
94080|HINDUSTAN UNILEVER LTD.|0101012501000000|Cosmetics, toiletries, soaps & detergents|20239|Manufacture of other perfumes and toilet preparations n.e.c.
97066|I T C LTD.|0101011105000000|Tobacco products|12003|Manufacture of cigarettes, cigarette tobacco
