ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20160331|12|IGAAP|NA|NA|12.6000|100.0000|NA|16.0000|NA|16.0000|-7.8000|NA
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20170331|12|IGAAP|NA|NA|10.5000|76.7000|NA|49.4000|NA|49.4000|7.0000|NA
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20180331|12|IGAAP|3699.9000|NA|13.2000|19.8000|NA|63.9000|NA|63.9000|108.8000|NA
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20190331|12|IGAAP|5240.2000|NA|16.3000|185.6000|NA|4.8000|1.6000|4.8000|-94.6000|NA
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20200331|12|IGAAP|3032.8000|NA|19.9000|120.3000|NA|0.4000|NA|0.4000|359.8000|442.3000
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20210331|12|IGAAP|4392.0000|NA|23.5000|59.4000|NA|2.2000|0.2000|2.2000|-35.7000|2125.6000
108624|JAYDEEP COTTON FIBRES PVT. LTD.|20220331|12|IGAAP|3730.5000|NA|22.6000|0.0000|59.4000|2.6000|NA|2.6000|566.6000|1794.8000
109225|JENSON FINVEST PVT. LTD.|20160331|12|IGAAP|NA|NA|0.1000|NA|NA|NA|NA|NA|156.9000|NA
109225|JENSON FINVEST PVT. LTD.|20170331|12|IGAAP|NA|NA|0.5000|NA|NA|NA|NA|NA|4.5000|NA
109225|JENSON FINVEST PVT. LTD.|20180331|12|IGAAP|NA|NA|10.1000|NA|NA|NA|NA|NA|418.3000|NA
109225|JENSON FINVEST PVT. LTD.|20190331|12|IGAAP|0.9000|NA|12.1000|NA|NA|NA|NA|NA|196.5000|NA
109225|JENSON FINVEST PVT. LTD.|20200331|12|IGAAP|0.9000|NA|2.5000|NA|NA|NA|NA|NA|-9.6000|NA
109225|JENSON FINVEST PVT. LTD.|20210331|12|IGAAP|0.8000|NA|2.6000|NA|NA|NA|NA|NA|67.6000|NA
109613|J V L AGRO INDS. LTD.|20160331|12|IGAAP|45425.9000|NA|113.8000|305.1000|373.4000|231.9000|NA|231.9000|-1304.5000|NA
109613|J V L AGRO INDS. LTD.|20170331|12|INDAS|35351.5000|NA|119.4000|121.9000|459.5000|142.0000|NA|142.0000|2734.1000|NA
109613|J V L AGRO INDS. LTD.|20180331|12|INDAS|30859.8000|NA|118.7000|74.7000|467.7000|109.2000|NA|109.2000|-2957.4000|NA
109613|J V L AGRO INDS. LTD.|20190331|12|INDAS|11851.6000|NA|183.6000|0.0000|541.9000|158.6000|NA|158.6000|-9554.4000|NA
109976|JITEN AGRO LAND & FARM PVT. LTD.|20190331|12|IGAAP|1.1000|NA|1.8000|90.6000|NA|NA|NA|NA|NA|NA
109976|JITEN AGRO LAND & FARM PVT. LTD.|20200331|12|IGAAP|1.4000|NA|1.8000|70.1000|NA|9.5000|NA|9.5000|NA|NA
109976|JITEN AGRO LAND & FARM PVT. LTD.|20210331|12|IGAAP|1.8000|NA|1.7000|77.8000|NA|8.7000|NA|8.7000|NA|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20160331|12|IGAAP|1023.7000|NA|423.2000|227.9000|80.4000|66.2000|NA|66.2000|-0.1000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20170331|12|INDAS|937.5000|NA|518.8000|254.6000|85.4000|306.3000|1.0000|306.3000|-73.7000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20180331|12|INDAS|1063.0000|0.7000|538.1000|180.0000|60.0000|27.9000|NA|27.9000|31.4000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20190331|12|INDAS|1004.3000|3.2000|539.0000|120.0000|60.0000|34.0000|0.2000|34.0000|65.7000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20200331|12|INDAS|914.2000|NA|582.7000|64.8000|70.0000|64.0000|NA|64.0000|-114.3000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20210331|12|INDAS|1063.6000|NA|565.9000|88.8000|NA|118.9000|6.7000|118.9000|-25.2000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20220331|12|INDAS|1220.5000|NA|625.0000|134.6000|39.0000|73.9000|3.0000|73.9000|118.0000|NA
110466|SHRI VASUPRADA PLANTATIONS LTD.|20230331|12|INDAS|1107.7000|NA|671.1000|254.8000|29.1000|67.3000|0.1000|67.3000|-35.7000|NA
110494|JOREHAUT GROUP LTD.|20160331|12|IGAAP|NA|NA|NA|189.7000|NA|39.1000|NA|39.1000|14.2000|NA
110494|JOREHAUT GROUP LTD.|20170331|12|IGAAP|0.1000|NA|NA|189.7000|NA|28.4000|NA|28.4000|23.2000|NA
110494|JOREHAUT GROUP LTD.|20180331|12|IGAAP|12.0000|NA|22.0000|192.7000|NA|12.5000|NA|12.5000|-13.4000|NA
110494|JOREHAUT GROUP LTD.|20190331|12|IGAAP|964.2000|4.0000|561.4000|194.5000|NA|51.1000|NA|51.1000|49.9000|168.8000
111615|K C P SUGAR & INDS. CORPN. LTD.|20160331|12|IGAAP|4216.1000|NA|352.4000|424.7000|94.8000|82.4000|18.0000|82.4000|149.2000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20170331|12|INDAS|4636.2000|NA|447.1000|495.5000|166.6000|121.4000|0.8000|121.4000|549.1000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20180331|12|INDAS|3511.9000|NA|375.5000|403.5000|347.8000|23.6000|NA|23.6000|-576.1000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20190331|12|INDAS|3549.9000|1.7000|393.0000|413.4000|268.8000|77.3000|0.1000|77.3000|-520.8000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20200331|12|INDAS|3884.3000|12.4000|333.9000|743.2000|391.2000|10.6000|NA|10.6000|269.8000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20210331|12|INDAS|3112.7000|2.8000|339.0000|926.4000|303.8000|136.2000|0.6000|136.2000|174.3000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20220331|12|INDAS|3189.6000|0.6000|295.8000|721.9000|366.5000|60.3000|NA|60.3000|1210.2000|NA
111615|K C P SUGAR & INDS. CORPN. LTD.|20230331|12|INDAS|2832.7000|2.8000|313.8000|437.4000|295.4000|96.3000|1.5000|96.3000|7.6000|NA
112554|K M SUGAR MILLS LTD.|20160331|12|IGAAP|3279.3000|NA|99.0000|327.4000|255.4000|81.1000|NA|81.1000|696.2000|NA
