ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods
248186|TATA CONSUMER PRODUCTS LTD.|20210331|12|INDAS|115301.7000
248186|TATA CONSUMER PRODUCTS LTD.|20220331|12|INDAS|123381.0000
248186|TATA CONSUMER PRODUCTS LTD.|20230331|12|INDAS|136534.6000
261277|VADILAL INDUSTRIES LTD.|20170331|12|INDAS|4864.1000
261277|VADILAL INDUSTRIES LTD.|20180331|12|INDAS|5470.4000
261277|VADILAL INDUSTRIES LTD.|20190331|12|INDAS|5658.7000
261277|VADILAL INDUSTRIES LTD.|20200331|12|INDAS|6028.5000
261277|VADILAL INDUSTRIES LTD.|20210331|12|INDAS|4682.6000
261277|VADILAL INDUSTRIES LTD.|20220331|12|INDAS|7010.5000
261277|VADILAL INDUSTRIES LTD.|20230331|12|INDAS|10639.5000
262869|VARUN BEVERAGES LTD.|20161231|12|INDAS|44905.0000
262869|VARUN BEVERAGES LTD.|20171231|12|INDAS|44073.5000
262869|VARUN BEVERAGES LTD.|20181231|12|INDAS|51113.1000
262869|VARUN BEVERAGES LTD.|20191231|12|INDAS|85056.7000
262869|VARUN BEVERAGES LTD.|20201231|12|INDAS|75706.1000
262869|VARUN BEVERAGES LTD.|20211231|12|INDAS|91294.5000
262869|VARUN BEVERAGES LTD.|20221231|12|INDAS|135195.7000
281526|DEVI FISHERIES LTD.|20170331|12|IGAAP|11108.1000
281526|DEVI FISHERIES LTD.|20180331|12|INDAS|10333.2000
281526|DEVI FISHERIES LTD.|20190331|12|INDAS|12610.6000
281526|DEVI FISHERIES LTD.|20200331|12|INDAS|14741.3000
281526|DEVI FISHERIES LTD.|20210331|12|INDAS|15612.3000
281526|DEVI FISHERIES LTD.|20220331|12|INDAS|21983.6000
314421|CHOICE TRADING CORPN. PVT. LTD.|20170331|12|INDAS|3606.6000
314421|CHOICE TRADING CORPN. PVT. LTD.|20180331|12|INDAS|6130.4000
314421|CHOICE TRADING CORPN. PVT. LTD.|20190331|12|INDAS|9739.1000
314421|CHOICE TRADING CORPN. PVT. LTD.|20200331|12|INDAS|11142.3000
314421|CHOICE TRADING CORPN. PVT. LTD.|20210331|12|INDAS|13416.2000
314421|CHOICE TRADING CORPN. PVT. LTD.|20220331|12|INDAS|15004.9000
314421|CHOICE TRADING CORPN. PVT. LTD.|20230331|12|INDAS|17947.0000
328203|BIKAJI FOODS INTL. LTD.|20190331|12|INDAS|8901.0000
328203|BIKAJI FOODS INTL. LTD.|20200331|12|INDAS|10476.8000
328203|BIKAJI FOODS INTL. LTD.|20210331|12|INDAS|12746.6000
328203|BIKAJI FOODS INTL. LTD.|20220331|12|INDAS|15446.1000
328203|BIKAJI FOODS INTL. LTD.|20230331|12|INDAS|18695.9000
339129|SAMI-SABINSA GROUP LTD.|20170331|12|IGAAP|5801.0000
339129|SAMI-SABINSA GROUP LTD.|20180331|12|IGAAP|8054.5000
339129|SAMI-SABINSA GROUP LTD.|20190331|12|INDAS|9788.7000
339129|SAMI-SABINSA GROUP LTD.|20200331|12|INDAS|10133.0000
339129|SAMI-SABINSA GROUP LTD.|20210331|12|INDAS|10671.1000
339129|SAMI-SABINSA GROUP LTD.|20220331|12|INDAS|10554.2000
348998|HALDIRAM FOODS INTL. LTD.|20190331|12|INDAS|24372.7000
348998|HALDIRAM FOODS INTL. LTD.|20200331|12|INDAS|26613.3000
348998|HALDIRAM FOODS INTL. LTD.|20210331|12|INDAS|28994.2000
348998|HALDIRAM FOODS INTL. LTD.|20220331|12|INDAS|35309.5000
357699|DEL MONTE FOODS PVT. LTD.|20200331|12|INDAS|5656.0000
357699|DEL MONTE FOODS PVT. LTD.|20210331|12|INDAS|4341.3000
357699|DEL MONTE FOODS PVT. LTD.|20220331|12|INDAS|4454.5000
357699|DEL MONTE FOODS PVT. LTD.|20230331|12|INDAS|5331.2000
362711|ORGANIC INDIA PVT. LTD.|20170331|12|INDAS|1175.6000
362711|ORGANIC INDIA PVT. LTD.|20180331|12|INDAS|1249.5000
362711|ORGANIC INDIA PVT. LTD.|20190331|12|INDAS|3328.2000
362711|ORGANIC INDIA PVT. LTD.|20200331|12|INDAS|3426.4000
362711|ORGANIC INDIA PVT. LTD.|20210331|12|INDAS|3868.9000
362711|ORGANIC INDIA PVT. LTD.|20220331|12|INDAS|3851.8000
384085|PARAG MILK FOODS LTD.|20170331|12|INDAS|16067.6000
384085|PARAG MILK FOODS LTD.|20180331|12|INDAS|19021.1000
384085|PARAG MILK FOODS LTD.|20190331|12|INDAS|20710.2000
384085|PARAG MILK FOODS LTD.|20200331|12|INDAS|22215.8000
384085|PARAG MILK FOODS LTD.|20210331|12|INDAS|16731.2000
384085|PARAG MILK FOODS LTD.|20220331|12|INDAS|20426.2000
384085|PARAG MILK FOODS LTD.|20230331|12|INDAS|28537.5000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20170331|12|IGAAP|3059.7000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20180331|12|IGAAP|3322.5000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20190331|12|IGAAP|3101.9000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20200331|12|IGAAP|3312.0000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20210331|12|IGAAP|3025.3000
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|20220331|12|IGAAP|3539.3000
38924|BRITANNIA INDUSTRIES LTD.|20170331|12|INDAS|92278.9000
38924|BRITANNIA INDUSTRIES LTD.|20180331|12|INDAS|98997.6000
38924|BRITANNIA INDUSTRIES LTD.|20190331|12|INDAS|109734.6000
38924|BRITANNIA INDUSTRIES LTD.|20200331|12|INDAS|114439.9000
38924|BRITANNIA INDUSTRIES LTD.|20210331|12|INDAS|128830.4000
38924|BRITANNIA INDUSTRIES LTD.|20220331|12|INDAS|139446.7000
38924|BRITANNIA INDUSTRIES LTD.|20230331|12|INDAS|159849.0000
391246|SANDHYA AQUA EXPORTS PVT. LTD.|20200331|12|IGAAP|7183.0000
391246|SANDHYA AQUA EXPORTS PVT. LTD.|20210331|12|IGAAP|9636.8000
398277|INDAPUR DAIRY & MILK PRODUCTS LTD.|20180331|12|IGAAP|11315.0000
398277|INDAPUR DAIRY & MILK PRODUCTS LTD.|20190331|12|IGAAP|13641.3000
398277|INDAPUR DAIRY & MILK PRODUCTS LTD.|20200331|12|IGAAP|17701.8000
398277|INDAPUR DAIRY & MILK PRODUCTS LTD.|20210331|12|IGAAP|16324.3000
398277|INDAPUR DAIRY & MILK PRODUCTS LTD.|20220331|12|IGAAP|23813.0000
399416|PRATAAP SNACKS LTD.|20170331|12|INDAS|8606.4000
399416|PRATAAP SNACKS LTD.|20180331|12|INDAS|9798.7000
399416|PRATAAP SNACKS LTD.|20190331|12|INDAS|11479.3000
399416|PRATAAP SNACKS LTD.|20200331|12|INDAS|13759.6000
399416|PRATAAP SNACKS LTD.|20210331|12|INDAS|11596.4000
399416|PRATAAP SNACKS LTD.|20220331|12|INDAS|13786.4000
399416|PRATAAP SNACKS LTD.|20230331|12|INDAS|16363.4000
399570|BIKANERVALA FOODS PVT. LTD.|20180331|12|IGAAP|7603.0000
399570|BIKANERVALA FOODS PVT. LTD.|20190331|12|IGAAP|9267.0000
399570|BIKANERVALA FOODS PVT. LTD.|20200331|12|INDAS|10112.2000
399570|BIKANERVALA FOODS PVT. LTD.|20210331|12|INDAS|9642.5000
399570|BIKANERVALA FOODS PVT. LTD.|20220331|12|INDAS|11641.6000
42684|ZYDUS WELLNESS LTD.|20170331|12|INDAS|4593.4000
42684|ZYDUS WELLNESS LTD.|20180331|12|INDAS|4920.2000
42684|ZYDUS WELLNESS LTD.|20190331|12|INDAS|8082.1000
42684|ZYDUS WELLNESS LTD.|20200331|12|INDAS|18950.8000
42684|ZYDUS WELLNESS LTD.|20210331|12|INDAS|19950.2000
42684|ZYDUS WELLNESS LTD.|20220331|12|INDAS|21313.4000
42684|ZYDUS WELLNESS LTD.|20230331|12|INDAS|24004.4000
432664|AACHI MASALA FOODS PVT. LTD.|20200331|12|IGAAP|2589.0000
432664|AACHI MASALA FOODS PVT. LTD.|20210331|12|IGAAP|2993.4000
456205|VIDYA HERBS PVT. LTD.|20170331|12|IGAAP|2983.4000
456205|VIDYA HERBS PVT. LTD.|20180331|12|IGAAP|4493.2000
456205|VIDYA HERBS PVT. LTD.|20190331|12|IGAAP|5443.4000
456205|VIDYA HERBS PVT. LTD.|20200331|12|IGAAP|4472.8000
456205|VIDYA HERBS PVT. LTD.|20210331|12|IGAAP|5528.2000
456205|VIDYA HERBS PVT. LTD.|20220331|12|IGAAP|7355.5000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20170331|12|IGAAP|2090.3000
