sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
133154|M T R FOODS PVT. LTD.|20210331|12|INDAS|8687.3000|10.4000|1049.4000|269.8000|NA|2081.2000|176.7000|7.1000|176.7000|1438.9000|NA
133154|M T R FOODS PVT. LTD.|20220331|12|INDAS|8826.8000|25.6000|1036.5000|265.4000|NA|2116.6000|329.5000|10.6000|329.5000|907.1000|NA
138942|MANJILAS FOOD TECH PVT. LTD.|20160331|12|IGAAP|2952.8000|NA|195.8000|70.7000|NA|822.0000|169.2000|2.8000|169.2000|NA|NA
138942|MANJILAS FOOD TECH PVT. LTD.|20170331|12|IGAAP|3463.6000|NA|233.9000|79.6000|42.7000|836.7000|95.7000|6.5000|95.7000|137.4000|NA
138942|MANJILAS FOOD TECH PVT. LTD.|20180331|12|IGAAP|2880.4000|NA|240.5000|60.7000|46.5000|805.4000|55.9000|5.6000|55.9000|116.1000|NA
138942|MANJILAS FOOD TECH PVT. LTD.|20190331|12|IGAAP|2432.9000|NA|228.2000|40.0000|38.7000|747.7000|30.4000|1.3000|30.4000|70.4000|799.7000
138942|MANJILAS FOOD TECH PVT. LTD.|20200331|12|IGAAP|2547.4000|NA|234.2000|17.0000|27.7000|686.7000|14.3000|1.0000|14.3000|86.6000|806.7000
138942|MANJILAS FOOD TECH PVT. LTD.|20210331|12|IGAAP|2535.2000|NA|222.2000|NA|NA|651.7000|34.3000|1.1000|34.3000|258.7000|973.0000
138942|MANJILAS FOOD TECH PVT. LTD.|20220331|12|IGAAP|2487.9000|9.6000|386.3000|NA|NA|668.5000|87.3000|NA|87.3000|144.4000|744.2000
138942|MANJILAS FOOD TECH PVT. LTD.|20230331|12|IGAAP|2956.0000|11.5000|378.9000|NA|NA|548.3000|13.3000|NA|13.3000|-159.2000|748.9000
140097|MARICO LTD.|20160331|12|INDAS|47275.9000|48.2000|1981.6000|0.0000|1785.3000|4595.6000|480.8000|32.6000|480.8000|6290.1000|1749.4000
140097|MARICO LTD.|20170331|12|INDAS|46216.7000|84.9000|2226.0000|NA|NA|4954.9000|1012.3000|12.4000|1012.3000|4706.8000|NA
140097|MARICO LTD.|20180331|12|INDAS|55810.0000|240.0000|2450.0000|NA|NA|4860.0000|590.0000|10.0000|590.0000|4090.0000|NA
140097|MARICO LTD.|20190331|12|INDAS|63900.0000|NA|2790.0000|1070.0000|NA|6320.0000|1500.0000|40.0000|1500.0000|7850.0000|NA
140097|MARICO LTD.|20200331|12|INDAS|57930.0000|NA|2850.0000|1090.0000|NA|6900.0000|1780.0000|10.0000|1780.0000|9700.0000|NA
140097|MARICO LTD.|20210331|12|INDAS|69090.0000|NA|3480.0000|1010.0000|NA|6580.0000|1180.0000|70.0000|1180.0000|15640.0000|NA
140097|MARICO LTD.|20220331|12|INDAS|82460.0000|NA|3370.0000|750.0000|NA|6460.0000|870.0000|10.0000|870.0000|6560.0000|NA
140097|MARICO LTD.|20230331|12|INDAS|83930.0000|NA|3720.0000|780.0000|NA|6890.0000|1640.0000|10.0000|1640.0000|10020.0000|NA
149122|MOON BEVERAGES LTD.|20160331|12|IGAAP|3840.5000|NA|128.3000|2677.6000|NA|1620.2000|460.1000|NA|460.1000|NA|NA
149122|MOON BEVERAGES LTD.|20170331|12|IGAAP|4221.6000|NA|136.4000|2457.7000|NA|1437.5000|100.3000|NA|100.3000|334.0000|NA
149122|MOON BEVERAGES LTD.|20180331|12|IGAAP|4328.6000|NA|163.0000|2135.8000|NA|1313.4000|155.8000|NA|155.8000|NA|NA
149122|MOON BEVERAGES LTD.|20190331|12|IGAAP|4472.2000|NA|178.1000|1974.6000|NA|1160.9000|78.4000|NA|78.4000|371.1000|NA
149122|MOON BEVERAGES LTD.|20200331|12|IGAAP|5605.3000|NA|266.4000|6085.5000|NA|5340.4000|1787.6000|NA|1787.6000|752.8000|NA
149122|MOON BEVERAGES LTD.|20210331|12|IGAAP|8539.2000|NA|409.0000|5384.8000|NA|4192.5000|159.9000|NA|159.9000|1136.8000|NA
149122|MOON BEVERAGES LTD.|20220331|12|IGAAP|11649.6000|NA|498.5000|6343.4000|NA|3876.6000|592.2000|NA|592.2000|1334.2000|NA
157429|NEKKANTI SEA FOODS LTD.|20160331|12|IGAAP|7473.1000|NA|32.3000|30.0000|20.0000|250.7000|60.8000|NA|60.8000|478.1000|6373.6000
157429|NEKKANTI SEA FOODS LTD.|20170331|12|INDAS|8297.3000|NA|42.3000|NA|NA|936.7000|831.3000|2.1000|831.3000|-183.5000|7307.3000
157429|NEKKANTI SEA FOODS LTD.|20180331|12|INDAS|12036.4000|378.9000|138.4000|NA|NA|945.3000|185.1000|1.4000|185.1000|917.1000|11249.9000
157429|NEKKANTI SEA FOODS LTD.|20190331|12|INDAS|11289.7000|268.0000|171.4000|10.0000|NA|834.8000|54.8000|NA|54.8000|689.0000|10377.2000
157429|NEKKANTI SEA FOODS LTD.|20200331|12|INDAS|12977.9000|1121.0000|219.8000|NA|NA|892.4000|221.0000|0.5000|221.0000|1057.1000|12102.2000
157429|NEKKANTI SEA FOODS LTD.|20210331|12|INDAS|12363.6000|613.1000|222.9000|83.9000|30.0000|1233.7000|490.1000|NA|490.1000|-722.7000|11735.2000
157429|NEKKANTI SEA FOODS LTD.|20220331|12|INDAS|22209.8000|1029.5000|251.4000|120.0000|NA|2045.0000|1021.5000|2.3000|1021.5000|-470.9000|20259.9000
