sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20200331|12|INDAS|1215.7000|NA|89.7000|162.9000|52.4000|291.2000|14.1000|NA|14.1000|124.4000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20210331|12|INDAS|3565.1000|NA|91.4000|121.0000|41.9000|283.5000|20.0000|NA|20.0000|53.3000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20220331|12|INDAS|3252.1000|NA|90.4000|79.0000|41.9000|278.0000|20.5000|NA|20.5000|109.3000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20230331|12|INDAS|3928.9000|NA|112.7000|58.2000|20.8000|276.6000|19.3000|NA|19.3000|82.7000|NA
102023|INTERNATIONAL FRESH FARM PRODUCTS (INDIA) LTD.|20160331|12|IGAAP|258.5000|NA|17.9000|159.2000|NA|630.0000|1.1000|NA|1.1000|70.8000|NA
102023|INTERNATIONAL FRESH FARM PRODUCTS (INDIA) LTD.|20170331|12|IGAAP|161.4000|NA|15.4000|159.3000|NA|605.7000|0.3000|NA|0.3000|40.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20160331|12|INDAS|NA|NA|65.9000|172.5000|28.8000|189.2000|61.9000|NA|61.9000|51.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20170331|12|INDAS|NA|NA|75.0000|158.1000|31.6000|164.7000|15.7000|NA|15.7000|50.5000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20180331|12|INDAS|1008.6000|NA|79.4000|126.3000|31.7000|152.0000|19.4000|NA|19.4000|85.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20190331|12|INDAS|2286.7000|NA|92.9000|136.3000|40.0000|162.2000|38.1000|NA|38.1000|43.7000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20200331|12|INDAS|2334.8000|NA|101.0000|96.2000|40.0000|160.3000|28.9000|NA|28.9000|112.9000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20210331|12|INDAS|2751.9000|NA|115.4000|56.2000|40.0000|137.0000|2.1000|NA|2.1000|20.4000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20220331|12|INDAS|2919.3000|NA|127.2000|16.2000|40.0000|117.5000|0.7000|NA|0.7000|88.9000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20230331|12|INDAS|3113.1000|NA|144.0000|8.3000|7.8000|102.6000|1.4000|NA|1.4000|56.0000|NA
103506|J D C INDIA LTD.|20160331|12|IGAAP|81.5000|NA|6.2000|110.8000|NA|104.6000|12.9000|NA|12.9000|-21.3000|11.3000
103506|J D C INDIA LTD.|20170331|12|IGAAP|68.4000|NA|6.6000|110.6000|NA|92.6000|1.8000|NA|1.8000|8.4000|18.0000
103506|J D C INDIA LTD.|20180331|12|IGAAP|122.0000|NA|7.0000|117.6000|NA|81.0000|0.1000|NA|0.1000|-29.4000|NA
103506|J D C INDIA LTD.|20190331|12|IGAAP|148.1000|NA|9.1000|117.6000|NA|71.1000|NA|NA|NA|42.9000|NA
103506|J D C INDIA LTD.|20200331|12|IGAAP|115.5000|NA|8.2000|117.6000|NA|62.6000|0.1000|NA|0.1000|16.6000|NA
103506|J D C INDIA LTD.|20210331|12|IGAAP|58.7000|NA|7.6000|112.6000|NA|55.5000|NA|NA|NA|15.0000|NA
103506|J D C INDIA LTD.|20220331|12|IGAAP|40.0000|NA|7.2000|112.6000|NA|49.3000|0.1000|NA|0.1000|-16.4000|NA
103703|J H V SUGAR LTD.|20160331|12|IGAAP|529.2000|NA|45.0000|779.9000|NA|323.0000|NA|NA|NA|NA|NA
103703|J H V SUGAR LTD.|20170331|12|IGAAP|796.5000|NA|50.7000|813.3000|NA|296.8000|NA|NA|NA|103.5000|NA
103703|J H V SUGAR LTD.|20180331|12|IGAAP|377.3000|NA|64.9000|1225.0000|NA|301.2000|26.5000|NA|26.5000|-70.3000|NA
103703|J H V SUGAR LTD.|20190331|12|IGAAP|405.8000|NA|28.6000|1240.8000|NA|278.0000|NA|NA|NA|NA|NA
103703|J H V SUGAR LTD.|20200331|12|IGAAP|32.2000|NA|19.5000|1305.3000|NA|258.2000|NA|NA|NA|NA|NA
103703|J H V SUGAR LTD.|20210331|12|IGAAP|215.6000|NA|22.0000|1329.9000|NA|242.0000|NA|NA|NA|NA|NA
103703|J H V SUGAR LTD.|20220331|12|IGAAP|98.3000|NA|16.4000|1446.9000|NA|228.3000|NA|NA|NA|NA|NA
10383|ALBERTA AGRO PVT. LTD.|20160331|12|IGAAP|NA|NA|0.1000|51.5000|NA|0.0000|NA|NA|NA|-5.4000|NA
10383|ALBERTA AGRO PVT. LTD.|20170331|12|IGAAP|NA|NA|NA|81.8000|NA|0.6000|0.8000|NA|0.8000|-15.3000|NA
10383|ALBERTA AGRO PVT. LTD.|20180331|12|IGAAP|4.6000|NA|1.9000|95.6000|NA|75.5000|79.2000|NA|79.2000|-10.2000|NA
10383|ALBERTA AGRO PVT. LTD.|20190331|12|IGAAP|9.9000|0.8000|6.0000|98.0000|NA|64.2000|0.7000|NA|0.7000|-2.5000|NA
10383|ALBERTA AGRO PVT. LTD.|20200331|12|IGAAP|1.6000|NA|5.5000|112.0000|NA|55.1000|0.2000|NA|0.2000|-10.6000|NA
10383|ALBERTA AGRO PVT. LTD.|20210331|12|IGAAP|3.9000|NA|5.4000|31.3000|NA|47.9000|0.4000|NA|0.4000|85.0000|NA
10383|ALBERTA AGRO PVT. LTD.|20220331|12|IGAAP|NA|NA|4.8000|25.9000|NA|41.9000|0.2000|NA|0.2000|NA|NA
103853|UMANG DAIRIES LTD.|20160331|12|IGAAP|1564.2000|0.6000|121.2000|89.5000|54.9000|337.6000|36.6000|NA|36.6000|162.0000|64.1000
103853|UMANG DAIRIES LTD.|20170331|12|INDAS|1819.8000|0.3000|148.4000|61.6000|49.4000|718.2000|233.3000|2.3000|233.3000|72.6000|NA
103853|UMANG DAIRIES LTD.|20180331|12|INDAS|2070.0000|NA|213.2000|79.8000|32.6000|709.8000|27.4000|1.0000|27.4000|-53.0000|NA
103853|UMANG DAIRIES LTD.|20190331|12|INDAS|1782.6000|NA|223.3000|50.0000|48.7000|742.2000|68.9000|0.3000|68.9000|260.6000|NA
103853|UMANG DAIRIES LTD.|20200331|12|INDAS|1978.9000|NA|225.2000|88.9000|27.4000|813.2000|114.4000|0.6000|114.4000|29.0000|NA
103853|UMANG DAIRIES LTD.|20210331|12|INDAS|2075.0000|NA|211.9000|71.5000|18.9000|811.4000|48.5000|NA|48.5000|122.1000|NA
103853|UMANG DAIRIES LTD.|20220331|12|INDAS|1629.6000|NA|237.1000|224.1000|30.8000|790.9000|31.2000|NA|31.2000|-89.6000|NA
103853|UMANG DAIRIES LTD.|20230331|12|INDAS|2442.6000|NA|243.8000|203.5000|40.0000|753.9000|14.1000|3.2000|14.1000|55.6000|NA
103915|J K M RESEARCH FARM LTD.|20160331|12|IGAAP|NA|NA|NA|NA|NA|56.7000|0.9000|NA|0.9000|-0.4000|NA
103915|J K M RESEARCH FARM LTD.|20170331|12|INDAS|NA|NA|NA|NA|NA|241.9000|NA|NA|NA|-0.3000|NA
103915|J K M RESEARCH FARM LTD.|20180331|12|INDAS|NA|NA|NA|NA|NA|241.8000|NA|NA|NA|-0.1000|NA
103915|J K M RESEARCH FARM LTD.|20190331|12|INDAS|NA|NA|NA|NA|NA|242.5000|0.7000|NA|0.7000|NA|NA
103915|J K M RESEARCH FARM LTD.|20200331|12|INDAS|NA|NA|0.5000|NA|NA|242.5000|NA|NA|NA|0.0000|NA
103915|J K M RESEARCH FARM LTD.|20210331|12|INDAS|NA|NA|0.5000|NA|NA|243.0000|0.6000|NA|0.6000|0.4000|NA
103915|J K M RESEARCH FARM LTD.|20220331|12|INDAS|0.9000|NA|0.5000|NA|NA|242.9000|NA|NA|NA|0.7000|NA
103915|J K M RESEARCH FARM LTD.|20230331|12|INDAS|2.0000|NA|0.6000|NA|NA|242.8000|NA|NA|NA|-0.5000|NA
104557|J R FOODS LTD.|20160331|12|IGAAP|1273.7000|NA|3.5000|52.3000|8.1000|73.9000|16.7000|NA|16.7000|-46.2000|NA
104557|J R FOODS LTD.|20170331|12|IGAAP|1306.8000|NA|3.9000|83.2000|7.4000|103.8000|34.5000|NA|34.5000|16.4000|NA
104557|J R FOODS LTD.|20180331|12|IGAAP|1756.5000|NA|5.3000|89.8000|7.3000|100.6000|3.1000|NA|3.1000|-6.1000|NA
104557|J R FOODS LTD.|20190331|12|IGAAP|731.1000|NA|3.9000|149.5000|NA|97.1000|3.3000|NA|3.3000|-355.7000|NA
104557|J R FOODS LTD.|20200331|12|INDAS|NA|NA|1.4000|161.1000|NA|90.3000|0.1000|NA|0.1000|2.4000|NA
104557|J R FOODS LTD.|20210331|12|INDAS|NA|NA|1.4000|157.9000|NA|84.8000|1.4000|NA|1.4000|64.3000|NA
104557|J R FOODS LTD.|20220331|12|INDAS|NA|NA|2.1000|151.5000|NA|81.5000|2.8000|NA|2.8000|NA|NA
104919|J V GOKAL & CO. PVT. LTD.|20160331|12|IGAAP|1807.3000|NA|53.7000|0.8000|NA|231.5000|16.8000|8.8000|16.8000|-60.0000|1810.2000
104919|J V GOKAL & CO. PVT. LTD.|20170331|12|IGAAP|1584.5000|NA|60.2000|0.0000|0.8000|230.3000|36.3000|4.4000|36.3000|144.4000|1488.0000
104919|J V GOKAL & CO. PVT. LTD.|20180331|12|IGAAP|1582.3000|NA|63.5000|1.6000|0.3000|270.0000|80.9000|3.5000|80.9000|350.4000|1385.2000
104919|J V GOKAL & CO. PVT. LTD.|20190331|12|IGAAP|1770.5000|NA|76.0000|2.6000|0.5000|245.7000|27.9000|NA|27.9000|-85.9000|1548.8000
104919|J V GOKAL & CO. PVT. LTD.|20200331|12|IGAAP|1361.9000|NA|75.7000|2.5000|0.9000|245.8000|42.9000|NA|42.9000|243.8000|NA
104919|J V GOKAL & CO. PVT. LTD.|20210331|12|IGAAP|1633.9000|NA|75.5000|2.7000|NA|286.5000|90.0000|0.6000|90.0000|-106.7000|NA
104919|J V GOKAL & CO. PVT. LTD.|20220331|12|IGAAP|816.4000|NA|80.1000|2.3000|NA|311.8000|63.2000|NA|63.2000|593.1000|NA
105265|JAGATJIT INDUSTRIES LTD.|20160331|12|IGAAP|10088.2000|1.6000|682.4000|1490.0000|NA|2865.2000|57.7000|NA|57.7000|187.8000|84.5000
105265|JAGATJIT INDUSTRIES LTD.|20170331|12|INDAS|7076.4000|0.3000|691.7000|2201.0000|NA|4233.4000|36.3000|NA|36.3000|97.5000|NA
105265|JAGATJIT INDUSTRIES LTD.|20180331|12|INDAS|4080.6000|7.8000|684.0000|2380.2000|NA|4130.0000|17.5000|NA|17.5000|75.9000|NA
105265|JAGATJIT INDUSTRIES LTD.|20190331|12|INDAS|1341.5000|4.1000|657.9000|2043.2000|NA|3804.8000|15.4000|NA|15.4000|507.7000|NA
105265|JAGATJIT INDUSTRIES LTD.|20200331|12|INDAS|1204.9000|1.7000|574.7000|1992.2000|NA|3728.8000|22.5000|NA|22.5000|163.3000|NA
105265|JAGATJIT INDUSTRIES LTD.|20210331|12|INDAS|3099.1000|0.6000|635.2000|2113.4000|41.1000|3729.1000|99.8000|NA|99.8000|252.9000|NA
105265|JAGATJIT INDUSTRIES LTD.|20220331|12|INDAS|3378.5000|6.6000|667.5000|2110.9000|48.5000|3696.5000|64.1000|NA|64.1000|141.4000|NA
105265|JAGATJIT INDUSTRIES LTD.|20230331|12|INDAS|4785.6000|9.0000|668.0000|1971.6000|147.1000|3629.6000|32.1000|NA|32.1000|122.7000|NA
105519|JAGRAM FINVEST PVT. LTD.|20160331|12|IGAAP|NA|NA|NA|0.1000|NA|0.9000|NA|NA|NA|NA|NA
105519|JAGRAM FINVEST PVT. LTD.|20170331|12|IGAAP|NA|NA|NA|0.1000|NA|0.9000|NA|NA|NA|NA|NA
105519|JAGRAM FINVEST PVT. LTD.|20180331|12|IGAAP|NA|NA|NA|0.1000|NA|0.9000|NA|NA|NA|NA|NA
105519|JAGRAM FINVEST PVT. LTD.|20190331|12|IGAAP|NA|NA|NA|0.2000|NA|0.9000|NA|NA|NA|NA|NA
105519|JAGRAM FINVEST PVT. LTD.|20200331|12|IGAAP|NA|NA|NA|0.3000|NA|0.9000|NA|NA|NA|NA|NA
105519|JAGRAM FINVEST PVT. LTD.|20210331|12|IGAAP|NA|NA|NA|0.3000|NA|0.9000|NA|NA|NA|NA|NA
